settlement_id,payment_id,amount_received,date
SET00171,PAY00196,4889.22,2026-07-10
SET00158,PAY00181,31859.8,2026-08-07
SET00562,PAY00646,36088.5,2026-06-19
SET00393,PAY00443,431.2,2026-07-21
SET00207,PAY00234,24965.5,2026-07-19
SET00453,PAY00521,1724.8,2026-07-23
SET00238,PAY98281,9016.0,2026-06-15
SET00127,PAY00139,338.1,2026-06-16
SET00456,PAY00527,15248.8,2026-08-05
SET00339,PAY00382,14983.22,2026-06-05
SET00477,PAY00551,40096.7,2026-08-15
SET00412,PAY00469,1478.82,2026-07-22
SET00272,PAY00305,7211.82,2026-06-26
SET00017,PAY00018,33070.1,2026-06-20
SET00459,PAY00530,686.1,2026-08-14
SET00540,PAY94237,47495.7,2026-07-16
SET00181,PAY00207,0.0,2026-07-28
SET00130,PAY00143,1410.22,2026-08-05
SET00103,PAY00112,39626.3,2026-08-23
SET00128,PAY00140,18159.4,2026-08-15
SET00280,PAY00313,26322.8,2026-06-02
SET00135,PAY00149,455.21,2026-08-24
SET00195,PAY00222,29718.5,2026-08-09
SET00242,PAY00273,298.9,2026-08-10
SET00390,PAY00440,35005.6,2026-07-15
SET00561,PAY00645,1254.4,2026-06-18
SET00447,PAY00513,12082.42,2026-08-23
SET00080,PAY00086,342.02,2026-06-12
SET00041,PAY00044,4356.1,2026-08-12
SET00511,PAY00589,5144.63,2026-07-20
SET00563,PAY00647,837.9,2026-07-13
SET00307,PAY00343,1557.22,2026-06-06
SET00304,PAY00340,700.7,2026-06-25
SET00516,PAY00594,40297.6,2026-07-31
SET00122,PAY00134,6231.82,2026-08-17
SET00211,PAY00238,41850.9,2026-08-11
SET00240,PAY00271,14077.7,2026-06-15
SET00294,PAY00330,39141.2,2026-08-11
SET00154,PAY00176,6041.7,2026-07-28
SET00058,PAY00062,828.1,2026-08-05
SET00108,PAY00118,44771.3,2026-06-10
SET00132,PAY00145,1896.3,2026-08-13
SET00331,PAY00373,1417.81,2026-06-21
SET00228,PAY00257,1852.2,2026-08-22
SET00193,PAY00220,1469.02,2026-07-29
SET00383,PAY00429,4468.8,2026-08-06
SET00463,PAY00535,2024.92,2026-08-07
SET00493,PAY00569,6497.4,2026-07-13
SET00186,PAY00212,42904.4,2026-06-19
SET00460,PAY00532,4846.1,2026-07-30
SET00234,PAY00264,2940.0,2026-06-19
SET00125,PAY00137,5306.7,2026-07-11
SET00162,PAY00185,249.01,2026-06-16
SET00170,PAY00195,20437.9,2026-06-06
SET00549,PAY00630,1572.9,2026-07-06
SET00564,PAY00648,29929.2,2026-06-01
SET00551,PAY00633,6860.33,2026-07-11
SET00432,PAY00495,1568.0,2026-08-15
SET00350,PAY00393,8701.42,2026-08-21
SET00187,PAY00213,0.0,2026-07-04
SET00434,PAY00497,7688.1,2026-07-22
SET00225,PAY00253,1900.22,2026-08-10
SET00202,PAY00229,4601.1,2026-08-17
SET00263,PAY00296,0.0,2026-08-16
SET00252,PAY00285,2371.6,2026-08-07
SET00138,PAY00152,30643.62,2026-06-11
SET00522,PAY00601,27542.9,2026-06-02
SET00385,PAY00434,0.0,2026-07-23
SET00194,PAY00221,274.4,2026-06-06
SET00117,PAY00128,6731.62,2026-06-29
SET00318,PAY00356,31954.61,2026-08-17
SET00374,PAY00419,5810.42,2026-08-04
SET00435,PAY00499,763.42,2026-06-27
SET00525,PAY00605,6267.1,2026-07-20
SET00156,PAY00179,9632.42,2026-08-24
SET00215,PAY00242,30326.1,2026-06-12
SET00366,PAY95253,37464.42,2026-06-20
SET00455,PAY00526,24671.5,2026-07-18
SET00327,PAY00368,4673.62,2026-08-22
SET00416,PAY00477,35255.5,2026-06-30
SET00346,PAY00389,20237.0,2026-08-12
SET00255,PAY00288,5330.22,2026-06-27
SET00542,PAY00623,294.0,2026-08-22
SET00210,PAY00237,999.6,2026-06-04
SET00351,PAY00395,1768.9,2026-08-12
SET00245,PAY00277,6810.02,2026-06-06
SET00315,PAY00353,6486.62,2026-08-07
SET00503,PAY00581,3283.0,2026-06-07
SET00403,PAY00458,47564.3,2026-08-18
SET00019,PAY00020,9344.3,2026-07-26
SET00324,PAY00362,4448.22,2026-08-03
SET00413,PAY00470,8589.7,2026-07-12
SET00088,PAY00095,7511.7,2026-06-28
SET00244,PAY00276,31580.5,2026-06-19
SET00471,PAY00543,34383.3,2026-06-23
SET00230,PAY00259,3463.81,2026-08-11
SET00052,PAY00055,37548.7,2026-08-19
SET00323,PAY00361,4242.42,2026-08-23
SET00269,PAY00302,1547.42,2026-06-30
SET00476,PAY00550,30282.0,2026-06-06
SET00031,PAY00032,735.0,2026-06-25
SET00067,PAY00072,48303.22,2026-06-18
SET00262,PAY00295,7629.3,2026-07-15
SET00439,PAY00503,38924.62,2026-06-10
SET00370,PAY00415,454.96,2026-08-13
SET00457,PAY00528,1379.87,2026-08-13
SET00550,PAY00632,19423.6,2026-06-08
SET00426,PAY00488,704.62,2026-08-16
SET00441,PAY00505,0.0,2026-08-08
SET00016,PAY00017,4708.9,2026-06-14
SET00189,PAY00215,42393.82,2026-06-03
SET00198,PAY00225,35500.5,2026-07-20
SET00289,PAY00323,44325.4,2026-07-02
SET00292,PAY00327,3174.22,2026-07-27
SET00176,PAY00201,1469.27,2026-08-08
SET00470,PAY00542,20594.7,2026-07-21
SET00212,PAY00239,26523.7,2026-06-28
SET00340,PAY00383,5222.42,2026-07-31
SET00367,PAY00412,4784.85,2026-06-25
SET00431,PAY00494,8873.9,2026-08-09
SET00109,PAY00119,3479.0,2026-08-24
SET00533,PAY00614,5850.6,2026-08-05
SET00560,PAY00644,22295.0,2026-07-19
SET00299,PAY00335,3052.7,2026-07-28
SET00391,PAY00441,39209.8,2026-07-09
SET00458,PAY97417,4307.1,2026-07-14
SET00026,PAY00027,0.0,2026-08-25
SET00137,PAY00151,4983.3,2026-06-21
SET00050,PAY00053,39910.5,2026-07-24
SET00555,PAY00638,20726.02,2026-06-24
SET00175,PAY00200,479.22,2026-08-01
SET00047,PAY00050,47677.0,2026-07-25
SET00504,PAY00582,406.7,2026-08-10
SET00084,PAY00091,34377.42,2026-07-01
SET00119,PAY00131,1176.0,2026-07-12
SET00400,PAY00454,1861.02,2026-07-27
SET00236,PAY00266,9701.02,2026-07-11
SET00167,PAY00191,926.1,2026-08-03
SET00396,PAY00447,5576.2,2026-08-02
SET00190,PAY00217,3998.4,2026-07-15
SET00517,PAY00595,35152.6,2026-08-04
SET00443,PAY00507,8446.62,2026-06-09
SET00295,PAY00331,29596.0,2026-07-21
SET00267,PAY00300,45898.3,2026-06-18
SET00060,PAY00064,33040.7,2026-08-20
SET00363,PAY00408,25645.62,2026-08-03
SET00106,PAY90536,7221.62,2026-07-25
SET00139,PAY00153,9956.8,2026-06-14
SET00056,PAY00059,5737.9,2026-07-12
SET00544,PAY00625,1915.27,2026-08-22
SET00233,PAY93960,33603.22,2026-06-16
SET00057,PAY96561,2807.7,2026-08-05
SET00465,PAY00537,1700.3,2026-06-15
SET00316,PAY97369,5076.4,2026-07-13
SET00461,PAY00533,725.2,2026-07-09
SET00089,PAY00096,1915.9,2026-08-13
SET00347,PAY00390,34798.82,2026-07-13
SET00025,PAY00026,1234.8,2026-07-23
SET00115,PAY00126,557.62,2026-07-24
SET00140,PAY00154,40998.3,2026-07-24
SET00510,PAY00588,0.0,2026-08-04
SET00205,PAY00232,7084.42,2026-06-21
SET00032,PAY00033,44217.6,2026-06-25
SET00440,PAY00504,1528.8,2026-06-21
SET00341,PAY00384,10407.6,2026-06-13
SET00248,PAY00281,29022.7,2026-08-04
SET00337,PAY00380,739.9,2026-07-22
SET00417,PAY00478,15660.4,2026-06-02
SET00320,PAY00358,8937.6,2026-06-28
SET00024,PAY00025,0.0,2026-07-06
SET00410,PAY00467,27670.3,2026-07-29
SET00165,PAY00188,1606.22,2026-06-13
SET00536,PAY00617,578.2,2026-06-05
SET00335,PAY00378,1205.4,2026-06-16
SET00055,PAY98056,6125.0,2026-08-17
SET00519,PAY00597,490.0,2026-06-28
SET00129,PAY00142,36965.6,2026-07-07
SET00098,PAY00105,6545.29,2026-07-10
SET00402,PAY00457,8878.8,2026-07-01
SET00124,PAY00136,5590.9,2026-07-29
SET00490,PAY00566,3380.02,2026-07-09
SET00430,PAY00493,1396.5,2026-07-12
SET00356,PAY90430,45578.82,2026-07-23
SET00392,PAY00442,15239.0,2026-07-11
SET00358,PAY00403,1778.7,2026-07-25
SET00099,PAY00106,1322.68,2026-07-02
SET00362,PAY00407,5341.0,2026-07-17
SET00241,PAY00272,7805.7,2026-06-08
SET00387,PAY00437,3693.62,2026-06-09
SET00479,PAY00554,911.4,2026-08-15
SET00547,PAY00628,43242.5,2026-08-15
SET00203,PAY00230,20506.5,2026-07-15
SET00004,PAY00004,5399.8,2026-06-09
SET00462,PAY00534,1852.2,2026-07-12
SET00492,PAY93619,1901.2,2026-08-19
SET00178,PAY00204,4711.54,2026-07-18
SET00397,PAY00450,15111.6,2026-07-01
SET00303,PAY00339,7378.42,2026-07-20
SET00231,PAY00261,2030.65,2026-08-03
SET00147,PAY00166,5467.42,2026-06-11
SET00270,PAY00303,2772.42,2026-07-31
SET00454,PAY00524,406.7,2026-08-02
SET00371,PAY00416,3654.42,2026-06-09
SET00191,PAY00218,12347.26,2026-07-13
SET00332,PAY00374,1224.02,2026-08-24
SET00532,PAY00613,1416.1,2026-06-30
SET00197,PAY00224,7222.6,2026-07-18
SET00141,PAY00159,584.32,2026-07-27
SET00083,PAY00090,1568.0,2026-06-11
SET00329,PAY00371,13573.0,2026-06-10
SET00330,PAY00372,1847.3,2026-06-18
SET00085,PAY00092,0.0,2026-08-01
SET00288,PAY00322,32900.29,2026-07-22
SET00534,PAY92222,3242.82,2026-08-07
SET00180,PAY00206,872.2,2026-07-07
SET00100,PAY00108,230.3,2026-07-18
SET00075,PAY00081,8937.6,2026-08-07
SET00008,PAY00008,312.62,2026-06-09
SET00274,PAY00307,1743.42,2026-06-05
SET00155,PAY00177,2420.6,2026-08-23
SET00192,PAY00219,22043.56,2026-08-02
SET00407,PAY00462,20233.81,2026-06-16
SET00379,PAY00425,43128.82,2026-08-14
SET00051,PAY00054,6291.6,2026-08-16
SET00039,PAY00042,0.0,2026-06-19
SET00495,PAY00571,15502.62,2026-08-21
SET00006,PAY00006,9030.7,2026-07-03
SET00076,PAY00082,2086.42,2026-06-20
SET00249,PAY00282,6065.22,2026-08-12
SET00048,PAY00051,24235.4,2026-07-05
SET00071,PAY00076,31163.02,2026-07-21
SET00361,PAY00406,735.0,2026-07-26
SET00226,PAY00255,20637.82,2026-06-20
SET00287,PAY00321,2598.52,2026-06-30
SET00012,PAY00013,29840.02,2026-07-19
SET00151,PAY00172,3389.82,2026-08-14
SET00343,PAY90762,23391.62,2026-08-02
SET00116,PAY00127,2876.3,2026-07-17
SET00282,PAY00316,372.4,2026-08-01
SET00254,PAY00287,254.8,2026-07-27
SET00196,PAY00223,6076.0,2026-07-07
SET00529,PAY00610,8334.9,2026-08-02
SET00066,PAY00071,3463.09,2026-07-03
SET00548,PAY94890,33838.42,2026-08-18
SET00220,PAY00248,1857.1,2026-08-23
SET00500,PAY00577,8379.0,2026-07-11
SET00070,PAY00075,1367.1,2026-08-08
SET00094,PAY00101,18580.8,2026-08-23
SET00069,PAY00074,27974.1,2026-08-15
SET00022,PAY00023,7320.6,2026-08-03
SET00078,PAY00084,30908.22,2026-07-19
SET00388,PAY00438,1357.3,2026-07-12
SET00376,PAY00422,25753.42,2026-07-16
SET00237,PAY00267,8093.82,2026-07-30
SET00365,PAY00410,1508.26,2026-07-21
SET00126,PAY00138,1537.62,2026-07-31
SET00229,PAY00258,26793.2,2026-08-13
SET00360,PAY00405,1572.9,2026-07-09
SET00043,PAY00046,0.0,2026-06-23
SET00005,PAY00005,4591.3,2026-07-14
SET00398,PAY00452,46133.5,2026-08-10
SET00065,PAY00070,41811.7,2026-08-05
SET00527,PAY00608,31085.6,2026-06-07
SET00110,PAY00120,617.4,2026-07-13
SET00256,PAY00289,40100.62,2026-06-08
SET00359,PAY00404,1772.82,2026-08-07
SET00206,PAY00233,48828.5,2026-06-05
SET00421,PAY92340,4478.6,2026-07-20
SET00148,PAY00168,871.22,2026-08-21
SET00007,PAY00007,1880.62,2026-08-09
SET00291,PAY00326,44972.2,2026-08-13
SET00444,PAY00508,23417.1,2026-08-05
SET00334,PAY00377,27444.9,2026-06-03
SET00389,PAY00439,0.0,2026-08-04
SET00357,PAY00402,381.22,2026-08-16
SET00260,PAY00293,20083.87,2026-06-27
SET00283,PAY00317,847.7,2026-07-21
SET00123,PAY00135,13128.07,2026-08-11
SET00079,PAY00085,41140.4,2026-08-19
SET00507,PAY00585,1886.5,2026-06-03
SET00321,PAY00359,17341.1,2026-07-02
SET00478,PAY00552,25715.2,2026-07-05
SET00152,PAY00173,46059.02,2026-08-19
SET00300,PAY00336,0.0,2026-08-25
SET00372,PAY93965,36078.7,2026-06-20
SET00164,PAY00187,7296.1,2026-08-23
SET00433,PAY00496,166.6,2026-06-10
SET00326,PAY00365,45343.62,2026-07-24
SET00266,PAY00299,705.6,2026-08-08
SET00480,PAY99225,32839.8,2026-07-17
SET00553,PAY00636,31849.02,2026-06-29
SET00437,PAY00501,8093.82,2026-07-26
SET00302,PAY00338,1254.4,2026-07-09
SET00279,PAY00312,1141.7,2026-06-21
SET00144,PAY00162,29914.5,2026-08-15
SET00436,PAY00500,3209.5,2026-08-15
SET00386,PAY00435,7105.0,2026-08-18
SET00200,PAY00227,9378.6,2026-07-25
SET00042,PAY00045,48951.0,2026-06-30
SET00375,PAY00421,44295.02,2026-06-11
SET00513,PAY00591,19510.82,2026-06-13
SET00429,PAY00492,1190.7,2026-08-21
SET00232,PAY00262,29875.3,2026-07-15
SET00246,PAY00278,18605.3,2026-07-31
SET00314,PAY00352,8789.62,2026-06-21
SET00486,PAY00562,6668.9,2026-07-12
SET00333,PAY00375,40841.5,2026-06-03
SET00468,PAY00540,514.19,2026-06-29
SET00404,PAY00459,20462.4,2026-06-27
SET00264,PAY00297,994.7,2026-06-06
SET00030,PAY00031,6388.62,2026-07-29
SET00239,PAY00269,1126.02,2026-07-16
SET00251,PAY00284,0.0,2026-07-05
SET00163,PAY00186,769.3,2026-06-11
SET00150,PAY00170,1656.2,2026-06-19
SET00487,PAY00563,19918.5,2026-08-21
SET00354,PAY00399,926.1,2026-07-29
SET00482,PAY00557,1176.0,2026-08-17
SET00095,PAY00102,283.22,2026-07-17
SET00565,PAY00649,1106.42,2026-06-21
SET00222,PAY00250,1484.7,2026-08-05
SET00086,PAY00093,4013.1,2026-08-10
SET00188,PAY00214,15302.7,2026-06-09
SET00090,PAY00097,28807.1,2026-06-03
SET00411,PAY00468,903.45,2026-06-15
SET00035,PAY00037,6252.4,2026-06-10
SET00218,PAY00246,28804.17,2026-08-18
SET00073,PAY00079,9299.22,2026-08-23
SET00306,PAY99794,685.02,2026-06-08
SET00221,PAY00249,5703.6,2026-08-10
SET00452,PAY00519,29330.42,2026-07-02
SET00483,PAY00558,0.0,2026-07-14
SET00111,PAY00121,614.75,2026-08-11
SET00368,PAY00413,41336.4,2026-07-12
SET00013,PAY00014,998.62,2026-08-20
SET00344,PAY00387,27811.42,2026-08-25
SET00199,PAY00226,9789.22,2026-08-03
SET00214,PAY00241,1919.82,2026-07-27
SET00537,PAY00618,32947.6,2026-07-06
SET00235,PAY00265,2370.62,2026-07-24
SET00530,PAY00611,1920.8,2026-07-12
SET00449,PAY00515,14802.9,2026-06-19
SET00541,PAY00622,8633.8,2026-07-20
SET00097,PAY00104,8280.02,2026-08-04
SET00543,PAY00624,7407.82,2026-07-23
SET00298,PAY00334,1220.1,2026-07-08
SET00064,PAY00068,10686.9,2026-06-12
SET00223,PAY00251,1866.9,2026-06-23
SET00096,PAY00103,2267.48,2026-07-25
SET00014,PAY00015,0.0,2026-06-16
SET00328,PAY00370,3087.0,2026-08-09
SET00018,PAY00019,43311.1,2026-08-18
SET00472,PAY00544,3689.7,2026-07-28
SET00247,PAY00280,857.5,2026-08-18
SET00499,PAY00576,30450.31,2026-07-02
SET00438,PAY00502,1656.2,2026-06-12
SET00208,PAY00235,1341.62,2026-07-28
SET00091,PAY00098,7242.2,2026-08-12
SET00308,PAY00344,24852.8,2026-06-08
SET00342,PAY00385,31075.8,2026-08-07
SET00381,PAY00427,5978.0,2026-08-01
SET00345,PAY00388,418.95,2026-08-18
SET00425,PAY00487,7825.3,2026-07-12
SET00446,PAY00512,2337.3,2026-06-20
SET00464,PAY00536,720.3,2026-07-31
SET00040,PAY00043,24299.1,2026-07-28
SET00087,PAY00094,32001.9,2026-08-21
SET00182,PAY00208,352.8,2026-08-10
SET00469,PAY00541,2998.8,2026-06-06
SET00538,PAY00619,28266.44,2026-08-21
SET00146,PAY00165,1866.9,2026-06-14
SET00159,PAY00182,25720.1,2026-07-27
SET00173,PAY00198,7413.7,2026-07-09
SET00473,PAY00545,12796.35,2026-08-06
SET00474,PAY00547,606.62,2026-08-09
SET00409,PAY00466,1037.82,2026-06-12
SET00451,PAY00518,377.3,2026-06-26
SET00201,PAY00228,180.81,2026-07-08
SET00427,PAY00490,1910.02,2026-08-17
SET00382,PAY00428,401.8,2026-06-19
SET00293,PAY00329,9172.8,2026-07-30
SET00349,PAY00392,1695.4,2026-07-26
SET00072,PAY00078,965.3,2026-07-31
SET00491,PAY00567,9926.42,2026-07-21
SET00528,PAY00609,5772.2,2026-07-14
SET00467,PAY00539,31277.44,2026-08-26
SET00559,PAY00642,4052.3,2026-06-16
SET00557,PAY00640,1655.22,2026-07-16
SET00107,PAY91627,4944.1,2026-07-03
SET00352,PAY00396,35672.46,2026-06-13
SET00514,PAY99070,31884.3,2026-08-16
SET00134,PAY00147,1148.27,2026-08-26
SET00061,PAY00065,1082.9,2026-08-10
SET00515,PAY00593,34667.5,2026-08-08
SET00027,PAY00028,1102.5,2026-06-29
SET00394,PAY96931,6065.22,2026-06-21
SET00101,PAY00110,2832.2,2026-08-22
SET00020,PAY00021,5774.93,2026-07-02
SET00494,PAY00570,2592.1,2026-06-22
SET00552,PAY00635,12072.62,2026-08-13
SET00265,PAY00298,9628.5,2026-08-23
SET00277,PAY00310,6806.1,2026-07-29
SET00009,PAY00010,1881.6,2026-07-31
SET00364,PAY00409,6909.0,2026-06-18
SET00310,PAY00346,42031.48,2026-07-02
SET00284,PAY00318,8011.5,2026-08-14
SET00489,PAY00565,1596.42,2026-08-15
SET00554,PAY00637,40361.3,2026-08-04
SET00093,PAY00100,1420.02,2026-06-25
SET00253,PAY00286,1469.02,2026-07-02
SET00033,PAY00034,7897.82,2026-08-15
SET00428,PAY00491,3478.02,2026-06-08
SET00442,PAY00506,17958.5,2026-06-17
SET00136,PAY00150,489.02,2026-08-07
SET00023,PAY00024,4566.8,2026-07-16
SET00466,PAY00538,441.0,2026-06-26
SET00063,PAY00067,449.82,2026-06-21
SET00149,PAY00169,426.3,2026-07-15
SET00216,PAY00243,1292.62,2026-08-22
SET00521,PAY00600,720.3,2026-08-13
SET00448,PAY00514,1043.7,2026-07-11
SET00531,PAY00612,8182.02,2026-07-24
SET00258,PAY00291,5806.5,2026-06-25
SET00053,PAY00056,24508.82,2026-08-16
SET00243,PAY00274,34618.5,2026-08-10
SET00174,PAY00199,1205.4,2026-08-17
SET00036,PAY00039,1031.45,2026-08-03
SET00450,PAY95362,289.1,2026-07-09
SET00179,PAY00205,3763.2,2026-08-23
SET00168,PAY00192,651.7,2026-06-13
SET00227,PAY00256,7260.82,2026-06-06
SET00121,PAY00133,45026.1,2026-07-19
SET00401,PAY00455,1302.42,2026-08-23
SET00276,PAY00309,568.4,2026-07-09
SET00045,PAY00048,1141.7,2026-07-07
SET00301,PAY00337,1509.2,2026-08-10
SET00325,PAY00363,2753.8,2026-07-18
SET00077,PAY00083,5741.82,2026-07-24
SET00209,PAY00236,0.0,2026-06-20
SET00369,PAY00414,4214.0,2026-08-12
SET00395,PAY00446,3302.6,2026-06-26
SET00213,PAY00240,1421.0,2026-06-18
SET00268,PAY00301,411.6,2026-06-07
SET00312,PAY00350,34285.3,2026-07-24
SET00217,PAY00244,1783.6,2026-06-27
SET00445,PAY00510,16414.02,2026-06-15
SET00496,PAY00572,9074.8,2026-07-04
SET00034,PAY00035,6174.0,2026-06-25
SET00010,PAY00011,771.75,2026-07-04
SET00518,PAY00596,43001.42,2026-08-19
SET00161,PAY00184,5075.42,2026-08-16
SET00286,PAY00320,1232.35,2026-06-23
SET00296,PAY00332,9996.0,2026-08-14
SET00105,PAY00115,7349.02,2026-06-20
SET00313,PAY00351,3155.6,2026-08-10
SET00535,PAY00616,43472.8,2026-06-23
SET00278,PAY00311,6321.0,2026-08-04
SET00523,PAY00603,19324.62,2026-08-14
SET00485,PAY00561,1896.3,2026-08-24
SET00497,PAY00574,1974.7,2026-07-24
SET00183,PAY00209,6850.2,2026-07-07
SET00545,PAY00626,1998.71,2026-08-25
SET00037,PAY00040,7287.53,2026-06-18
SET00157,PAY00180,40346.6,2026-06-08
SET00003,PAY00003,46050.2,2026-06-11
SET00509,PAY00587,20780.9,2026-06-13
SET00498,PAY00575,9069.9,2026-07-18
SET00309,PAY00345,489.02,2026-08-13
SET00290,PAY00325,1263.22,2026-06-15
SET00415,PAY00473,284.2,2026-06-23
SET00422,PAY00483,342.02,2026-08-23
SET00142,PAY00160,24587.22,2026-08-27
SET00224,PAY00252,9475.62,2026-07-07
SET00184,PAY00210,676.2,2026-07-27
SET00558,PAY00641,320.88,2026-07-12
SET00512,PAY00590,4886.77,2026-08-01
SET00118,PAY00129,2317.7,2026-08-23
SET00002,PAY00002,26827.5,2026-07-30
SET00114,PAY00124,16856.0,2026-06-17
SET00166,PAY00189,1322.02,2026-08-08
SET00185,PAY00211,1783.6,2026-08-06
SET00373,PAY00418,14777.18,2026-07-22
SET00275,PAY00308,553.7,2026-08-03
SET00001,PAY00001,3728.9,2026-06-04
SET00501,PAY92636,720.3,2026-06-25
SET00384,PAY00433,1694.42,2026-06-21
SET00406,PAY00461,769.3,2026-07-08
SET00021,PAY00022,759.5,2026-08-12
SET00177,PAY00203,490.0,2026-07-30
SET00336,PAY00379,22137.22,2026-07-05
SET00380,PAY00426,4967.62,2026-08-15
SET00546,PAY00627,8805.3,2026-06-28
SET00172,PAY93178,24833.2,2026-07-13
SET00520,PAY00598,1827.7,2026-06-11
SET00508,PAY00586,4321.8,2026-06-13
SET00153,PAY00174,847.7,2026-06-09
SET00414,PAY00471,31506.02,2026-06-17
SET00317,PAY00355,15747.62,2026-06-25
SET00259,PAY00292,4712.82,2026-08-22
SET00475,PAY00549,7144.28,2026-08-06
SET00338,PAY00381,25421.2,2026-07-12
SET00539,PAY00620,41194.3,2026-06-23
SET00505,PAY00583,9397.22,2026-07-07
SET00399,PAY00453,1229.9,2026-08-09
SET00424,PAY00486,1920.8,2026-06-16
SET00481,PAY00556,41419.7,2026-06-23
SET00423,PAY00484,32359.6,2026-08-20
SET00120,PAY00132,1416.1,2026-08-19
SET00257,PAY00290,1616.02,2026-07-12
SET00250,PAY00283,5777.1,2026-06-17
